"source","staged_path","action","duplicate_of","final_path"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_cougar_annual_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\2CDD66FE__23_cougar_annual_report.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\1954B5ED__23_cougar_annual_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\1954B5ED__23_cougar_annual_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_deer_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\14C8C0BB__23_deer_odds.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\86B01066__23_deer_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\86B01066__23_deer_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_dh_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\337BF5F9__23_dh_odds.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\FB56D764__23_dh_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\FB56D764__23_dh_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_drawing_odds BEAR.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\C263CE57__23_drawing_odds BEAR.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\C22FEBA4__23_drawing_odds BEAR.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\C22FEBA4__23_drawing_odds BEAR.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_lifetime_deer.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\0E9F663C__23_lifetime_deer.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\C1465317__23_lifetime_deer.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\C1465317__23_lifetime_deer.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_youth_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\0DC71A33__23_youth_antlerless_drawing_odds_report.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\1DBEBB19__23_youth_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\1DBEBB19__23_youth_antlerless_drawing_odds_report.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_youth_deer.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\08B0DC78__23_youth_deer.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\08B0DC78__23_youth_deer.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_youth_dh_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\26F98064__23_youth_dh_odds.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\26F98064__23_youth_dh_odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23_youth_elk.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\45424E60__23_youth_elk.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\45424E60__23_youth_elk.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Draw Odds Data\23-24_sportsman_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2023\draw_odds\96E43943__23-24_sportsman_odds.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\A77CBEDF__2023 sportsman permit odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2023\\pdf\\draw_odds\A77CBEDF__2023 sportsman permit odds.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Harvest Data\2023 ALL SPECIES HARVEST DATA.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2022\harvest_report\7DDF75D1__2023 ALL SPECIES HARVEST DATA.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2022\\pdf\\harvest_report\7DDF75D1__2023 ALL SPECIES HARVEST DATA.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Harvest Data\2023_antlerless_hr.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2022\harvest_report\20FA0DAF__2023_antlerless_hr.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\harvest\A96251BE__2023_antlerless_hr.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\harvest\A96251BE__2023_antlerless_hr.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Harvest Data\2023_gs_buck_deer_hr.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2022\harvest_report\7A344CF2__2023_gs_buck_deer_hr.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\harvest\9CC65639__2023_gs_buck_deer_hr.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\harvest\9CC65639__2023_gs_buck_deer_hr.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Harvest Data\BIGHORN SHEEP 2023-harvest-data.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2022\harvest_report\61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf","moved","","D:\DOCUMENTS\GitHub\HUNTS\pipeline\\raw\\2022\\pdf\\harvest_report\61FC0758__BIGHORN SHEEP 2023-harvest-data.pdf"
"D:\Downloads\test website\HUNT-PLANNER\years\2023\Harvest Data\harvest_23-24.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\_staging\downloads_import\2022\harvest_report\EA8DD3DD__harvest_23-24.pdf","skipped_duplicate","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\harvest\263AEE72__harvest_23-24.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\harvest\263AEE72__harvest_23-24.pdf"
