"filename","final_path","source_path","doc_type","species_tags","extraction_status","publish_year","model_target_year","target_year_rule","search_text"
"60619D30__22_bg-odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\60619D30__22_bg-odds.pdf","D:\DOCUMENTS\PDF FILES\22_bg-odds.pdf","draw_odds","","ok","2024","2025","draw_results_to_next_year","60619D30__22_bg-odds.pdf draw_odds 2024 draw_odds  2022 Draw 5, Big Game Bonus Point Purchase Results 06/02/2022 Page 1Species: DEER                                                                                                                                                                                                               Resident  Applicants Nonresident  Applicants Bonus  Points 29 28 1 4 27 3 26 6 4 25 4 15 24 17 29 23 29 21 22 43 32 21 50 58 20 72 85 19 75 100 18 101 96 17 122 124 16 133 130 15 158 148 14 171 191 13 207 1,034 12 275 638 11 268 591 10 291 554 92 9 8 5 5 1 83 1 6 6 0 9 73 5 0 7 0 8 63 8 6 7 6 5 5 552 1,089 4 533 1,097 3 477 1,387 2 579 1,472 1 663 1,784 0 733 2,236 6,910Totals 15,555 2022 Draw 5, Big Game Draw Results 06/01/2022 Page 1Species: LIMITED ENTRY DEER                                                                                                                                                          Resident Applicants Nonresident Applicants Applicants # Permits # Permits # Permits SuccessE"
"F6824B0F__22-23_sportsman_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\F6824B0F__22-23_sportsman_odds.pdf","D:\DOCUMENTS\PDF FILES\22-23_sportsman_odds.pdf","draw_odds","","ok","2023","2024","draw_results_to_next_year","F6824B0F__22-23_sportsman_odds.pdf draw_odds 2023 draw_odds  Utah Division of Wildlife Resources 2022-2023 Sportsman Draw Odds Report ResidentHunter Choice Applications T otalSuccessful Successful Non Resident Un- Successful Resident Un- Successful Non Resident Resident Quota Resident Quota Non Quota Total Resident Success Resident Success Non  1  0  5,964  0  5,965  1  1 1 in 5,965.0 N/AN/ABI1000 Sportsman Bison  1  0  1,584  0  1,585  1  1 1 in 1,585.0 N/AN/ABR1000 Sportsman Black Bear  1  0  1,410  0  1,411  1  1 1 in 1,411.0 N/AN/ACG1000 Sportsman Cougar  1  0  10,593  0  10,594  1  1 1 in 10,594.0 N/AN/ADB0007 Sportsman Deer  1  0  5,085  0  5,086  1  1 1 in 5,086.0 N/AN/ADS1000 Sportsman Desert Bighorn  Sheep  1  0  10,846  0  10,847  1  1 1 in 10,847.0 N/AN/AEB1000 Sportsman Elk  1  0  4,112  0  4,113  1  1 1 in 4,113.0 N/AN/AGO1000 Sportsman Mountain Goat  1  0  6,584  0  6,585  1  1 1 in 6,585.0 N/AN/AMB1000 Sportsman Moose  1  0  4,527  0  4,528  1  1 1 in 4,528.0 N/AN/APB1000 Sportsman Pronghorn  1  0  5,237  0  5,238  1  1 1 in 5,238"
"39B74714__Alex Berger (Group) Antlerless Hunt Contract 2024 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\39B74714__Alex Berger (Group) Antlerless Hunt Contract 2024 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\PDF FILES\Alex Berger (Group) Antlerless Hunt Contract 2024 (2026_02_06 06_23_41 UTC).pdf","harvest_report","","ok","2026","2026","harvest_hr_applies_to_report_year","39B74714__Alex Berger (Group) Antlerless Hunt Contract 2024 (2026_02_06 06_23_41 UTC).pdf other 2026 harvest_report  HUNTING GUIDE SERVICES CONTRACT  Tyler Miller Outfitter / Operator UT #370746-7500  242 North 300 East, Manti, UT. 84642 Phone: (435) 851-6480  Email: tyler@wildeyez.org Website: www.wildeyez.org  This document is a binding Contract, as outlined herein, entered into between Wild Eyez Outfitters and  the undersigned Hunting Client(s). This Contract details all aspects of negotiations which have been  agreed upon between both parties and defines the final agreement regarding the Hunting Guide  Services to be provided by Wild Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract  also defines the respective rights, duties, expectations and entitlements pertaining to both parties  independently and under contractual agreement between the parties. The final resolution and  agreements to all prior discussions and negotiations are set forth herein. There are no implied terms,  arrangements, promises, duties, responsibilities or expectations of this contract beyond those ex"
"DF11D6FA__Alex Berger (Group) Antlerless Hunt Contract 2024.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other\DF11D6FA__Alex Berger (Group) Antlerless Hunt Contract 2024.pdf","D:\DOCUMENTS\PDF FILES\Alex Berger (Group) Antlerless Hunt Contract 2024.pdf","harvest_report","","ok","2024","2024","harvest_hr_applies_to_report_year","DF11D6FA__Alex Berger (Group) Antlerless Hunt Contract 2024.pdf other 2024 harvest_report  HUNTING GUIDE SERVICES CONTRACT  Tyler Miller Outfitter / Operator UT #370746-7500  242 North 300 East, Manti, UT. 84642 Phone: (435) 851-6480  Email: tyler@wildeyez.org Website: www.wildeyez.org  This document is a binding Contract, as outlined herein, entered into between Wild Eyez Outfitters and  the undersigned Hunting Client(s). This Contract details all aspects of negotiations which have been  agreed upon between both parties and defines the final agreement regarding the Hunting Guide  Services to be provided by Wild Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract  also defines the respective rights, duties, expectations and entitlements pertaining to both parties  independently and under contractual agreement between the parties. The final resolution and  agreements to all prior discussions and negotiations are set forth herein. There are no implied terms,  arrangements, promises, duties, responsibilities or expectations of this contract beyond those ex"
"CEECC567__Alex Berger (Group) Antlerless Hunt Contract Signed 2024 - Copy.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\other\CEECC567__Alex Berger (Group) Antlerless Hunt Contract Signed 2024 - Copy.pdf","D:\DOCUMENTS\PDF FILES\Alex Berger (Group) Antlerless Hunt Contract Signed 2024 - Copy.pdf","harvest_report","","ok","2024","2024","harvest_hr_applies_to_report_year","CEECC567__Alex Berger (Group) Antlerless Hunt Contract Signed 2024 - Copy.pdf other 2024 harvest_report  HUNTING GUIDE SERVICES CONTRACT    Tyler Miller Outfitter / Operator UT #370746-7500  242 North 300 East, Manti, UT. 84642 Phone: (435) 851-6480  Email: tyler@wildeyez.org Website: www.wildeyez.org    This document is a binding Contract, as outlined herein, entered into between Wild Eyez Outfitters and  the undersigned Hunting Client(s). This Contract details all aspects of negotiations which have been  agreed upon between both parties and defines the final agreement regarding the Hunting Guide  Services to be provided by Wild Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract  also defines the respective rights, duties, expectations and entitlements pertaining to both parties  independently and under contractual agreement between the parties. The final resolution and  agreements to all prior discussions and negotiations are set forth herein. There are no implied terms,  arrangements, promises, duties, responsibilities or expectations of this contract beyond thos"
"C1C2CE90__alex's hunt group 2025 b (2025_12_24 23_43_27 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\other\C1C2CE90__alex's hunt group 2025 b (2025_12_24 23_43_27 UTC).pdf","D:\DOCUMENTS\PDF FILES\alex's hunt group 2025 b (2025_12_24 23_43_27 UTC).pdf","harvest_report","","ok","2025","2025","harvest_hr_applies_to_report_year","C1C2CE90__alex's hunt group 2025 b (2025_12_24 23_43_27 UTC).pdf other 2025 harvest_report  HUNTING GUIDE SERVICES CONTRACT    Tyler Miller Outfitter /UT. #370746-7500  242 North 300 East, Manti, UT. 84642  Phone: (435) 851-6480  Email: tyler@wildeyez.net  Website: https://www.wildeyez.net  This document is a binding Contract entered into between Wild Eyez  Outfitters and the undersigned Hunting Client. This Contract details all aspects of  negotiations which have been agreed upon between both parties and defines the  final agreement regarding the Hunting Guide Services to be provided by Wild  Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract also  defines the respective rights, duties, expectations, and entitlements pertaining to  both parties independently and, under this contractual agreement, together. The  final resolution and agreements to all prior discussions and negotiations are set  forth herein. There are no implied terms, arrangements, promises, duties,  responsibilities, or expectations of this contract beyond those expressly stated  herei"
"DE906775__Alma Wayman Cougar Hunting Contract 2023 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\DE906775__Alma Wayman Cougar Hunting Contract 2023 (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\PDF FILES\Alma Wayman Cougar Hunting Contract 2023 (2026_02_06 06_23_41 UTC).pdf","harvest_report","","ok","2026","2026","harvest_hr_applies_to_report_year","DE906775__Alma Wayman Cougar Hunting Contract 2023 (2026_02_06 06_23_41 UTC).pdf other 2026 harvest_report  HUNTING GUIDE SERVICES CONTRACT  Tyler Miller Outfitter / Operator UT #370746-7500  242 North 300 East, Manti, UT. 84642 Phone: (435) 851-6 480  Email: tyler@wildeyez.org Website: www.wildeyez.net  This document is a binding Contract, as outlined herein, entered into between Wild Eyez Outfitters and  the undersigned Hunting Client. This Contract details all aspects of negotiations which have been agreed  to between both parties and defines the final agreement regarding the Hunting Guide Services to be  provided by Wild Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract also defines the  respective rights, duties, expectations and entitlements pertaining to both parties independently and under  contractual agreement between the parties. The final resolution and agreements to all prior discussions  and negotiations are set forth herein. There are no implied terms, arrangements, promises, duties,  responsibilities or expectations of this contract beyond those expres"
"3CB36AD0__Alma Wayman Cougar Hunting Contract 2023.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\other\3CB36AD0__Alma Wayman Cougar Hunting Contract 2023.pdf","D:\DOCUMENTS\PDF FILES\Alma Wayman Cougar Hunting Contract 2023.pdf","harvest_report","","ok","2023","2023","harvest_hr_applies_to_report_year","3CB36AD0__Alma Wayman Cougar Hunting Contract 2023.pdf other 2023 harvest_report  HUNTING GUIDE SERVICES CONTRACT  Tyler Miller Outfitter / Operator UT #370746-7500  242 North 300 East, Manti, UT. 84642 Phone: (435) 851-6 480  Email: tyler@wildeyez.org Website: www.wildeyez.net  This document is a binding Contract, as outlined herein, entered into between Wild Eyez Outfitters and  the undersigned Hunting Client. This Contract details all aspects of negotiations which have been agreed  to between both parties and defines the final agreement regarding the Hunting Guide Services to be  provided by Wild Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract also defines the  respective rights, duties, expectations and entitlements pertaining to both parties independently and under  contractual agreement between the parties. The final resolution and agreements to all prior discussions  and negotiations are set forth herein. There are no implied terms, arrangements, promises, duties,  responsibilities or expectations of this contract beyond those expres"
"EF54A49E__Alma Wayman Cougar Hunting Contract 2023-agreement draft (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\other\EF54A49E__Alma Wayman Cougar Hunting Contract 2023-agreement draft (2026_02_06 06_23_41 UTC).pdf","D:\DOCUMENTS\PDF FILES\Alma Wayman Cougar Hunting Contract 2023-agreement draft (2026_02_06 06_23_41 UTC).pdf","harvest_report","","ok","2026","2026","harvest_hr_applies_to_report_year","EF54A49E__Alma Wayman Cougar Hunting Contract 2023-agreement draft (2026_02_06 06_23_41 UTC).pdf other 2026 harvest_report  HUNTING GUIDE SERVICES CONTRACT  Tyler Miller Outfitter / Operator UT #370746-7500  242 North 300 East, Manti, UT. 84642 Phone: (435) 851-6 480  Email: tyler@wildeyez.org Website: www.wildeyez.net  This document is a binding Contract, as outlined herein, entered into between Wild Eyez Outfitters and  the undersigned Hunting Client. This Contract details all aspects of negotiations which have been agreed  to between both parties and defines the final agreement regarding the Hunting Guide Services to be  provided by Wild Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract also defines the  respective rights, duties, expectations and entitlements pertaining to both parties independently and under  contractual agreement between the parties. The final resolution and agreements to all prior discussions  and negotiations are set forth herein. There are no implied terms, arrangements, promises, duties,  responsibilities or expectations of this contract beyond those expres"
"B51B567A__Alma Wayman Cougar Hunting Contract 2023-agreement draft.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\other\B51B567A__Alma Wayman Cougar Hunting Contract 2023-agreement draft.pdf","D:\DOCUMENTS\PDF FILES\Alma Wayman Cougar Hunting Contract 2023-agreement draft.pdf","harvest_report","","ok","2023","2023","harvest_hr_applies_to_report_year","B51B567A__Alma Wayman Cougar Hunting Contract 2023-agreement draft.pdf other 2023 harvest_report  HUNTING GUIDE SERVICES CONTRACT  Tyler Miller Outfitter / Operator UT #370746-7500  242 North 300 East, Manti, UT. 84642 Phone: (435) 851-6 480  Email: tyler@wildeyez.org Website: www.wildeyez.net  This document is a binding Contract, as outlined herein, entered into between Wild Eyez Outfitters and  the undersigned Hunting Client. This Contract details all aspects of negotiations which have been agreed  to between both parties and defines the final agreement regarding the Hunting Guide Services to be  provided by Wild Eyez Outfitters, Hunting Guides, Staff and Representatives. This Contract also defines the  respective rights, duties, expectations and entitlements pertaining to both parties independently and under  contractual agreement between the parties. The final resolution and agreements to all prior discussions  and negotiations are set forth herein. There are no implied terms, arrangements, promises, duties,  responsibilities or expectations of this contract beyond those expres"
