OBJECTID,Boundary_Name,GlobalID,BoundaryID,Description,Unit_Number,Shape__Area,Shape__Length
12,"Manti, Northwest",d2689f4f-1bca-402d-832c-99a5227e9490,59,"Carbon, Sanpete and Utah counties—Boundary begins at US-6 and US-89 at Thistle Junction; east on US-6 to SR-96; south on SR-96 to SR-264; west on SR-264 to SR-31; west on SR-31 to US-89 at Fairview; north on US-89 to US-6. The Lasson Draw Wildlife Management Area is closed to motorized travel 12/1 – 5/30. USGS 1:100,000 Maps: Nephi. Boundary questions? Call Springville office, 801-491-5678
east on US-6 to SR-96; south on SR-96 to SR-264; west on SR-264 to SR-31; west on SR-31 to US-89 at Fairview; north on US-89 to US-6. The Lasson Draw Wildlife Management Area is closed to motorized travel 12/1 – 5/30. USGS 1:100,000 Maps: Nephi. Boundary questions? Call Springville office, 801-491-5678. ",16B1,1898273261.70703,211969.368747673
13,"Manti, Southeast ",6bbbb44b-b136-4324-b0c7-468834a83036,63,"Emery, Sanpete and Sevier counties — Boundary begins at SR-31 and SR-10 at Huntington; west on SR-31 to Skyline Drive; south on Skyline Drive to Water Hollow Road; south on this road to I-70; east on I-70 to SR-10; north on SR-10 to SR-31. USGS 1:100,000 Maps: Manti, Nephi, Salina.  Boundary questions? Call Price office, (435) 613-3700. ",16C2,4426476805.51172,379443.39528557
14,"Manti, Southwest",dc9c23cc-c03b-41e7-a04e-7428a15367ee,446,"Sanpete and Sevier counties — Boundary begins at SR-31 and US-89 at Fairview; east on SR-31 to the Skyline Drive; south on Skyline Drive to Water Hollow Road; south on this road to I-70; west on I-70 to US-89 at Salina; north on US-89 to SR-31. Motorized travel may be restricted on White Hills Wildlife Management Area from 12/1- 4/15. USGS 1:100,000 Maps: Manti, Nephi, Salina. Boundary questions? Call Springville office, (801) 491-5678. ",16C1,2429621810.99609,335538.74404085
15,"Fillmore, Oak Creek",0264b363-1cad-48c7-8053-1bf1326fe279,668,"Juab, Millard, Sanpete and Sevier counties—Boundary begins at Black Rock Road and I-15(Exit 135); west on Black Rock Road to SR-257; north on SR-257 to US-6/50; east on US-6/50 to US-6; northeast on US-6 to Santaquin and I-15; south on I-15 to Exit 135 and Black Rock Road. Boundary questions? Call the Cedar City office, 435-865-6100. ",21A,8874621028.78125,534915.003766343
16,Thousand Lakes,e330845f-88c5-4148-871b-e402357e282b,632,"Sevier and Wayne counties—Boundary begins at the junction of SR-24 and SR-72; east on SR-24 to the Caineville Wash road; north along the Caineville Wash road to the Cathedral Valley road; west on the Cathedral Valley road to Rock Springs Bench and the Last Chance Desert road; north on the Last Chance Desert road to the Blue Flats road; north and east on the Blue Flats road to the Willow Springs road; north on the Willow Springs road towards Windy Peak and the Windy Peak road; west on the Windy Peak road to SR-72; south on SR-72 to SR-24. Private lands within this boundary are open to general deer hunting. USGS 1:100,000 Maps: Salina, San Rafael Desert, Loa, Hanksville. Boundary questions? Call the Cedar City office, 435-865-6100. ",25B,2146081004.59375,272749.615281614
17,"West Desert, Mtn Ranges",a0a64034-f330-44a4-8f8a-bd52a11d2ff1,243,"Juab, Millard, Tooele and Utah counties — Boundary begins at I-80 and the Utah-Nevada state line at Wendover; east on I-80 to the Dugway road at Rowley Junction; south on this road to the Pony Express Road: west on the Pony Express Road to the Dugway Valley Road; south on the Dugway Valley road to SR-174; east on SR-174 to US-6; southwest on US-6 to US-50/6 near Delta; west on US-50/6 to the Utah-Nevada state line; north along this state line to I-80. EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY. USGS 1:100,000 Maps:  Bonneville Salt Flat, Delta, Fish Springs, Lynndyl, Rush Valley, Tooele, Tule Valley, Wildcat Mountain. Boundary questions? Call Springville office, (801) 491-5678. ",19A,33627196598.3984,875069.582128401
18,"East Canyon, Davis",ab919808-d886-41e0-afb0-f41f21eb7050,76,"Davis and Salt Lake counties—Boundary begins at I-15 and I-80 in Salt Lake City; north on I-15 to US-89; north on US-89 to I-84; east on I-84 to the Davis-Morgan county line; south on this county line to the Morgan-Salt Lake county line; south on this county line to the Salt Lake-Summit county line; south on this county line to I-80; west on I-80 to I-15. This unit consists of areas directly adjacent to residential areas. USGS 1:100,000 Maps: Ogden, Salt Lake City. Boundary questions? Call Ogden office, (801) 476-2740. ",5A,971504812.734375,198612.033691629
19,Cache,4502571d-2368-4dd4-8eaf-199de5867892,29,"Box Elder, Cache, Rich and Weber counties—Boundary begins at I-15 and the Utah-Idaho state line; south on I-15 to US-91; east on US-91 to US-89/91; north on US-89/91 to SR-101; east on SR-101 to Hardware Ranch and USFS Road 054 (Ant Flat road); south on USFS Road 054 to SR-39; east on SR-39 to SR-16 in Woodruff; southeast on SR-16 to the Utah-Wyoming state line; north along this state line to the Utah-Idaho state line; west along this state line to I-15. Excludes all CWMUs. USGS 1:100,000 Maps: Tremonton, Logan, Ogden. Boundary questions? Call the Ogden office, 801-476-2740. ",2,8541392824.28516,505009.136935593
20,Fishlake,33afe651-00a2-46d5-bf5a-7dbae9fb22e1,633,"Piute, Sevier and Wayne counties—Boundary begins at SR-24 and SR-72; west and north on SR-24 to I-70; east on I-70 to SR-72; south on SR-72 to SR-24. Excludes all CWMUs. USGS 1:100,000 Maps:  Loa, Salina. Boundary questions? Call the Cedar City office, 435-865-6100. ",25A,2916115938.21094,243253.091692933
22,"Box Elder, Pilot Mtn",6d3b8972-8bea-42a1-a19a-e3eef9f438cc,683,"Box Elder and Tooele counties—Boundary begins at SR-30 and the Utah-Nevada state line; east on SR-30 to the township line separating Range 15 West and Range 16 West; south along this township line to I-80; then west on I-80 to the Utah-Nevada state line; north on this state line to SR-30. Hunters with this permit may hunt Nevada’s portion of this interstate unit (091) and abide by Nevada laws. USGS 1:100,000 Maps: Newfoundland Mtns, Bonneville Salt Flats, Wells, Wendover. Boundary questions? Call the Ogden office, 801-476-2740. ",1C,4833358116.9375,308981.380393212
23,Boulder,d82e78c9-1ff1-47f5-938b-bf3cab7a6a7c,172,"Garfield, Piute, Sevier and Wayne counties—Boundary begins at SR-24 and SR-62; south on SR-62 to SR-22; south on SR-22 to the Antimony-Widtsoe road; south on this road to SR-12; east on SR-12 to Boulder and the Burr Trail road; east on this road to the Notom road; north on this road to SR-24; west on SR-24 to SR-62. Excludes all CWMUs. USGS 1:100,000 Maps: Escalante, Loa, Panguitch, Salina. Boundary questions? Call Cedar City office, 435-865-6100. ",25C,8755982016.14453,551452.200180675
25,"Pine Valley, North",42a1a2ca-b2d8-4aa0-9d9e-61d944f69f72,729,"Iron and Washington Counties—Boundary begins at Ash Creek and I-15; west along this creek to Sawyer Canyon bottom; west along this canyon canyon bottom to the drainage divide; west along this divide over Mount Baldy to Leap Creek Trail; north along this trail to Anderson Valley Trail; west along this trail to Mill Flat and Summit Trail; though Anderson Valley to the Summit Trail at Mill Flat; southwest along this trail to the Cottonwood Creek drainage near Burger Peak; south along this drainage to the Cottonwood Creek road; south along this road to the Cedar Bench road; west along this road to Diamond Valley road; west along the this road to SR-18; north on SR-18 to the Sand Cove Reservoir road; west along this road to the Gunlock Road; south along this road to the Manganese Wash road; west along this road to the Motoqua road; north along this road to the Utah-Nevada state line; north on this state line to the Union Pacific railroad tracks near Uvada; northeast along these tracks to the Lund highway; northeast along this highway to SR-56; east on SR-56 to I-15; south on I-15 to Ash Creek. Boundary questions? Call Cedar City office, 435-865-6100. ",30A,7833620983.13281,403991.60438247
26,"Pine Valley, South",dc1afdf2-0be8-4863-9989-8f6f9aeb36dc,730,"Iron and Washington Counties—Boundary begins at Ash Creek and I-15; west along this creek to Sawyer Canyon bottom; west along this canyon canyon bottom to the drainage divide; west along this divide over Mount Baldy to Leap Creek Trail; north along this trail to Anderson Valley Trail; west along this trail to Mill Flat and Summit Trail; though Anderson Valley to the Summit Trail at Mill Flat; southwest along this trail to the Cottonwood Creek drainage near Burger Peak; south along this drainage to the Cottonwood Creek road; south along this road to the Cedar Bench road; west along this road to Diamond Valley road; west along the this road to SR-18; north on SR-18 to the Sand Cove Reservoir road; west along this road to the Gunlock Road; south along this road to the Manganese Wash road; west along this road to the Motoqua road; north along this road to the Utah-Nevada state line; south on this state line to the Utah-Arizona state line; east on this state line to I-15; north on I-15 to Ash Creek. Boundary questions? Call Cedar City office, 435-865-6100. ",30B,2902139978.71875,330441.799501691
27,"Book Cliffs, Rattlesnake Canyon/Nine Mile, South",914396ac-1298-4e89-a547-db77e00c0819,752,"Emery and Grand counties—Boundary begins at I-70 and US-6; east on I-70 to the Thompson Canyon road at Thompson; north on this road to the Sego Canyon road; north on this road to the Ute Indian Reservation boundary; west along this boundary to the Green River; north along this river to Range Creek; northwest along this creek to the Turtle Canyon/Little Park road;  west and north on this road to the Horse Canyon road; west on this road to US-6; south on US-6 to I-70.  EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY. Excludes all CWMUs. USGS 1:100,000 Maps: Huntington, Price, Moab, Westwater. Boundary questions? Call the Price office, 435-613-3700. ",10B/11C,3296526878.0625,319522.465018289
28,"Nine Mile, North",5ceabade-6698-4c70-ae1c-2ba2391db8f3,753,"Carbon, Duchesne, Emery and Uintah counties—Boundary begins at US-40 and US-191 in Duchesne; southwest on US-191 to US-6; southeast on US-6 to the Horse Canyon road; east on this road to the Little Park/Turtle Canyon Road; south and east on this road to Range Creek; south along this creek to the Green River; north along this river to the Duchesne River; west along this river to US-40 at Myton; west on US-40 to US-191 in Duchesne. EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY. Excludes all CWMUs. USGS 1:100,000 Maps: Duchesne, Huntington, Price, Seep Ridge, Vernal. Boundary questions? Call the Vernal office, 435-781-9453 or the Price office, 435-613-3700. ",11,9881230022.93359,579717.940610517
29,"West Desert, Tintic-Vernon",499c85cf-1658-4705-b227-6b79473d8b77,247,"Juab, Millard ,Tooele and Utah counties—Boundary begins at I-15 to SR-73 in Lehi; south on I-15 to exit 244 and US-6; west and south on US-6 to SR-174 (the IPP road); northwest on SR-174 to the Dugway Valley road; north on this road to the Pony Express road; northeast on this road to SR-36; north on SR-36 to Faust Junction and the Pony Express road; east on this road to SR-73; east on SR-73 to I-15 in Lehi. Excludes all CWMUs. USGS 1:100,000 Maps: Delta, Fish Springs, Lynndyl, Manti, Nephi, Provo, Rush Valley. Boundary questions? Call the Springville office, 801-491-5678. ",19B,10387896735.6211,479988.73104128
31,"San Juan, Mountains",9695e19c-c9a0-4664-be8a-9570a9a8949f,819,"Grand and San Juan counties—Boundary begins at SR-95 and the Colorado River near Hite Crossing; southeast on SR-95 to Fortknocker Canyon road; southeast along this road to Woodenshoe Road; east along this road to Found Mesa Road; south and west along this road to SR-95; southeast on SR-95 to SR-261; south on SR-261 to SR-163; south on SR-163 to the San Juan River; east along this river to the Navajo Indian Reservation boundary; north and east along this boundary to the Colorado state line; north along this state line to the Island Mesa road; west and south along this road to the Lisbon Valley road; northwest along this road to the Big Indian road; south and west along this road to US-191; north on US-191 to Hatch Wash; northwest along this wash to Kane Springs Creek; northwest along this creek to the Colorado River; south on the Colorado River to SR-95. EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY. EXCLUDES ALL NATIONAL PARKS. USGS 1:100,000 Maps: Blanding, Bluff, Hite Crossing, Navajo Mountain, La Sal, Moab. Boundary questions? Call the Price office, 435- 613-3700. ",14A,15259590628.0781,964151.906159386
32,"San Juan, Desert",f1462704-7005-4bc5-b6c5-ab5ecb2e0a52,818,"San Juan County—Boundary begins at the confluence of the San Juan and Colorado rivers; north along the Colorado River to SR-95 near Hite Crossing; southeast on SR-95 to Fortknocker Canyon Road; southeast along this road to Woodenshoe Road; east along this road to Found Mesa Road (CR-2271); south and west along this road to SR-95; southeast on SR-95 to SR-261; south on SR-261 to SR-163; south on SR-163 to the San Juan River; west along this river to the Colorado River. EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY. EXCLUDES ALL NATIONAL PARKS. USGS 1:100,000 Maps: Blanding, Bluff, Hanksville, Hite Crossing, Navajo Mountain. Boundary questions? Call the Price office, 435-613- 3700. ",14B,5878635457.83594,676603.751481607
33,"Box Elder, Desert",ee4bf8bb-f3f6-4b1c-9175-35481cc48d30,16,"Box Elder and Tooele counties — Boundary begins at the Utah-Idaho state line and I-15; west along this state line to SR-42; southeast along SR-42 to SR-30; southwest on SR-30 to the Dove Creek road near Rosette; west on this road over Dove Creek Pass to the Lynn Valley road; north on the Lynn Valley road to Lynn and the Lynn/Oakley County Idaho road; north on this road to the Utah-Idaho state line; west on this state line to the Utah-Nevada state line; south on this state line to SR-30; east on SR-30 to the township line between R15W and R16W; south on this line to I-80; east on I-80 to I-15; north on I-15 to the Utah-Idaho state line. USGS 1:100,000 Maps: Bonneville Salt Flat, Grouse Creek, Newfoundland Mountains, Promontory Point, Tremonton, Tooele. Boundary questions? Call Ogden office, (801) 476-2740. ",1B,34628665510.6836,1044209.05192933
34,"Wasatch Mtns, Salt Lake",23aa5bc3-d9de-4244-b28d-d236fd0ad6d5,234,"Boundary begins at I-15 and I-80; east on I-80 to US-40; south on US-40 to Summit-Wasatch county line; west on this county line to the Wasatch-Salt Lake county line; west on this county line to the Salt Lake-Utah county line; west on this county line to I-15; north on I-15 to I-80. ",17A4,1335466547.83984,184717.453096875
35,"Wasatch Mtns, West-Strawberry",2b272885-09ce-4458-8d43-54e1e59ea7a9,239,"Boundary begins at the Summit-Wasatch county line and US-40; south on US-40 to SR-32; east on SR-32 to SR-35 at Francis: southeast on SR-35 to USFS Road 054 (Mill Hollow road); southwest on this road to USFS Road 083 (Lake Creek road); southeast on this road to USFS Road 082 (Co-op Creek road); south on this road to US-40; east on US-40 to USFS Road 090 (Soldier Creek Dam road); south on this road to Soldier Creek Dam and the Strawberry River; southeast along this river to Beaver Creek; southwest along this creek to Big Beaver Spring and USFS Road 081 (Reservation Ridge road); southeast on this road to the Right Fork of White River road; southwest on this road to US-6; northwest on US-6 to US-89 at the mouth of Spanish Fork Canyon; north on US-89 to 400 South in Springville; east on this road to the Hobble Creek Canyon road; east along this road to the Left Hand Fork of Hobble Creek Canyon road; northeast along this road to the Berryport Canyon trail; north along this trail to the Wasatch-Utah county line near Bald Knoll; northwest along this county line and Wallsburg Ridge to the top of Bear Canyon Drainage; northwest along this drainage bottom to Provo Canyon and US-89; southwest on US-189 to SR-92; north and west on SR-92 to the Tibble Fork road; northeast on this road to Tibble Fork reservoir and the Deer Creek Trail; northwest on the Deer Creek Trail to the drainage divide at the head of Dry Creek Canyon; north along the top of this divide to the Utah-Salt Lake county line; east on this county line to the Salt Lake-Wasatch county line; east on this county line to the Summit-Wasatch county line; west on this county line to US-40. ",17A3,4843248842.83984,452806.888130857
36,"Oquirrh-Stansbury, East",4942204d-18ce-4f43-ab19-2d4e2ed8bc37,86,"Salt Lake, Tooele and Utah counties—Boundary begins at I-15 and I-80 in Salt Lake City; south on I-15 to SR-73; west on SR-73 to Pony Express Road; west on this road to Faust Junction and SR-36; north on SR-36 to I-80; east on I-80 to I-15.  The Pine Springs Conservation Wildlife Management Area is closed to motorized travel year-round. Excludes all CWMUs. USGS 1:100,000 Maps: Provo, Rush Valley, Salt Lake City, Tooele. Boundary questions? Call the Springville office, (801) 491-5678. ",18B,3400735254.12109,268326.078133031
37,"Oquirrh-Stansbury, West",2b2114c4-696e-44db-9c9c-27a973f576c0,75,"Salt Lake, Tooele and Utah counties—Boundary begins at I-80 and SR-36; south on SR-36 to Pony Express Road; west on this road to the Skull Valley road; north on this road to I-80 at Rowley Junction; east on I-80 to SR-36. EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY. Excludes all CWMUs. USGS 1:100,000 Maps: Provo, Rush Valley, Salt Lake City, Tooele. Boundary questions? Call the Springville office, (801) 491-5678. ",18A,3361747797.40625,261844.204432265
38,"Fillmore, Pahvant",fe793e75-32d5-4b91-9ca0-a6b4c84c0974,88,"Millard and Sevier counties—Boundary begins at I-70 and I-15; north on I-15 to US-50 at Scipio; southeast on US-50 to Salina and US-89; south on US-89 to I-70; southwest on I-70 to I-15. EXCLUDES ALL NATIVE AMERICAN TRUST LANDS WITHIN THIS BOUNDARY.  Excludes all CWMUs. USGS 1:100,000 Maps: Delta, Richfield, Salina. Boundary questions? Call the Cedar City office, 435-865-6100. ",21B,3631412763.55469,296587.682619706
39,Henry Mtns,2c796042-ba79-4cfc-8c42-d1af091615d6,94,"Garfield, Kane and Wayne counties—Boundary begins on SR-95 at a point two miles south of Hanksville; south on SR-95 to Lake Powell; south along the west shore of Lake Powell to SR-276 at Bullfrog; north on SR-276 to the Burr Trail-Notom road; north on this road to the Capitol Reef National Park boundary; north on this boundary to the Burr Trail-Notom road at The Narrows and Divide Canyon; north on this road to a point two miles south of SR-24; east along a line that is two miles south of SR-24 to SR-95. EXCLUDES ALL NATIONAL PARKS. USGS 1:100,000 Maps: Escalante, Hanksville, Hite Crossing, Loa. Boundary questions? Call the Price office, 435-613-3700. ",15,5425756784.8125,399986.811170361
40,Morgan-South Rich,8fb8fcf8-5abc-4297-b033-44979b9e9e97,117,"Morgan, Rich, Summit and Weber counties—Boundary begins at I-80 and the Utah-Wyoming state line; west on I-80 to Echo Junction and I-84; west on I-84 to SR-167 at Mountain Green (Trappers Loop Road); north along SR-167 to SR-39; east along SR-39 to Woodruff and SR-16; southeast on SR-16 to the Utah-Wyoming state line; south along the state line to I-80. Excludes all CWMUs. This hunt is comprised of all or largely private property.  Hunters should acquire written permission from the landowner before applying for this hunt. USGS 1:100,000 Maps: Logan, Ogden. Boundary questions? Call the Ogden office, 801-476-2740. ",4,4269238003.40625,299901.108953192
41,"North Slope, Summit/West Daggett",2ec676ec-0a86-481d-87c8-7d8e4e7294f4,143,"Daggett and Summit counties—Boundary begins at SR-150 and the Summit-Duchesne county line at Hayden Pass; north along SR-150 to the Utah-Wyoming state line; east along this state line to Flaming Gorge Reservoir main channel western shoreline (on the east side of Lucerne Point); west around Lucerne Point to the Utah-Wyoming state line (includes Lucerne Point); west along the state line to the western shore of Flaming Gorge Reservoir; south and east along this shoreline to Cart Creek; south along Cart Creek to US-191; south along US-191 to the Uintah-Daggett county line (summit of the Uinta Mountains); west along the summit of the Uinta Mountains to Hayden Pass and SR-150. USGS 1:100,000 Maps: Dutch John, Kings Peak. Boundary questions? Call the Vernal office, (435) 781-9453 o rOgden office, (801) 476-2740. ",8AB,4534744016.70703,543057.997880598
42,Paunsaugunt,dc557c5e-af9f-47ec-a58d-cb577c4241b6,163,"Garfield and Kane counties—Boundary begins at US-89A and the Utah-Arizona state line; north on US-89A to US-89; north on US-89 to SR-12; east on SR-12 to the Paria River; south along the Paria River to the Utah-Arizona state line; west along this state line to US-89A. USGS 1:100,000 Maps: Kanab, Panguitch. Boundary questions? Call the Cedar City office, 435-865-6100. ",27,6135588049.45703,365565.994876728
43,East Canyon,6a4a7a3e-794d-4f3e-b628-77e4bc29d4bb,276,"Davis, Morgan, Salt Lake and Summit counties—Boundary begins at Echo Junction and I-80; southwest along I-80 to I-15; north on I-15 to its junction with I-84 near Ogden; east on I-84 to Echo Junction. This hunt is comprised of all or largely private property. Hunters should acquire written permission from the landowner before applying for this hunt. USGS 1:100,000 Maps: Salt Lake City, Ogden. Boundary questions? Call the Ogden office, 801-476-2740. ",5,2864855080.24219,254046.203016067
44,Ogden,b6d0620f-cdde-482c-98e2-d4990c51e1a2,609,"Box Elder, Cache, Morgan and Weber counties—Boundary begins at US-91 and SR-101 west of Hyrum; east on SR-101 to Hardware Ranch and USFS Road 054 (Ant Flat Road); south on this road to SR-39; southwest on SR-39 to SR-167 (Trappers Loop Road); south on SR-167 to I-84 (Exit 92); west on I-84 to I-15; north on I-15 to US-91; northeast on US-91 to SR-101 west of Hyrum. This hunt is comprised of all or largely private property. Excludes all CWMUs. USGS 1:100,000 Maps: Logan, Ogden, Promontory Point. Boundary questions? Call the Ogden office, 801-476-2740. ",3,2919371881.88672,250393.683822269
45,Yellowstone,40d41859-3e9b-4b95-b376-348e5aaef31a,613,"Duchesne, Summit, Uintah and Wasatch counties—Boundary begins at SR-87 and US-40 in Duchesne; north on SR-87 to SR-35; northwest on SR-35 to the Provo River; north along this river to North Fork Provo River; north along this river to SR-150; east and north on SR-150 to the Summit-Duchesne county line (summit of the Uinta Mountains) at Hayden Pass; east along the summit of the Uinta Mountains to the Dry Fork-Whiterocks drainage divide; south atop this divide to USFS Trail #025; southwest on this trail to Whiterocks Lake and the East Fork of the Whiterocks River; south along this river to the Whiterocks River; south along this river to the Uinta River; south along this river to the Duchesne River; west along this river to US-40 at Myton; west on US-40 to SR-87 in Duchesne. EXCLUDES ALL NATIVE AMERICAN TRUST LAND WITHIN THIS BOUNDARY. USGS 1:100,000 Maps: Duchesne, Dutch John, Kings Peak, Provo, Salt Lake City, Vernal. Boundary questions? Call the Vernal office, 435-781-9453. ",9A,8736813034.38281,540494.380772234
